kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
08436,5.709,1044,5.78,1349,5.807,1621,5.878,2203,5.953,1898,6.18,1980,6.404,2430,6.622,1568,6.625,1396,7.14,1073,7.506,1088,7.887,736,8.151,1063,8.462,1352,8.763,1155,8.944,1815,9.387,2327,9.894,1071,3.31,4.12,3.96,1.2437,0.4671,1.2227,1.2759,3.8132,3.6246,3.4041,0.0453,7.7736,5.1261,5.0759,3.3473,3.8155,3.5571,2.0655,4.953,5.4011,renting
08437,4.587,335,4.558,292,4.712,472,4.705,1119,4.715,1397,4.795,1260,4.776,1117,4.973,406,5.147,266,5.681,276,5.885,237,5.972,195,6.349,305,6.747,395,7.16,329,7.588,487,8.02,710,8.245,331,3.55,5.21,5.37,-0.6322,3.3787,-0.1486,0.2125,1.6967,-0.3962,4.1248,3.4989,10.375,3.5909,1.4783,6.3128,6.2687,6.1212,5.9777,5.6932,2.8055,renting
09161,6.301,899,6.632,989,6.941,958,7.129,908,7.325,989,7.622,1257,7.886,1361,7.446,1209,7.669,1469,9.02,1439,9.374,1684,9.716,1443,9.646,2290,9.569,2793,9.864,2387,10.12,1892,10.472,2260,10.917,1049,3.38,4.01,2.52,5.2531,4.6592,2.7085,2.7493,4.0546,3.4637,-5.5795,2.9949,17.6164,3.9246,3.6484,-0.7205,-0.7983,3.0829,2.5953,3.4783,4.2494,renting
09162,9.929,39445,10.053,47529,10.006,53934,10.177,38061,10.498,29833,10.522,31548,11.697,28085,11.806,25968,12.036,20318,15.077,20189,15.815,20802,17.425,19674,16.927,27344,16.325,36256,16.869,25805,17.574,30489,17.97,35265,18.818,18130,4.02,5.04,2.19,1.2489,-0.4675,1.709,3.1542,0.2286,11.1671,0.9319,1.9482,25.2659,4.8949,10.1802,-2.858,-3.5564,3.3323,4.1793,2.2533,4.719,renting
09163,6.401,684,6.6,795,6.729,911,6.69,821,6.851,688,7.042,845,7.347,740,7.321,807,7.932,618,8.597,616,8.9,619,8.994,533,9.46,580,10.016,636,10.359,643,10.737,814,11.322,1068,11.741,528,3.66,4.86,4.42,3.1089,1.9545,-0.5796,2.4066,2.7879,4.3312,-0.3539,8.3459,8.3838,3.5245,1.0562,5.1812,5.8774,3.4245,3.649,5.4484,3.7008,renting
09171,4.547,149,4.461,162,4.709,298,4.676,204,4.754,197,4.936,248,5.158,595,5.301,383,5.628,220,5.794,271,6.078,273,6.298,203,6.59,365,6.96,449,7.499,382,7.866,419,8.134,476,8.738,217,3.95,5.14,5.82,-1.8914,5.5593,-0.7008,1.6681,3.8284,4.4976,2.7724,6.1686,2.9495,4.9016,3.6196,4.6364,5.6146,7.7443,4.894,3.4071,7.4256,renting
09172,5.595,909,5.745,835,5.88,874,6.05,558,6.372,392,6.604,545,6.654,677,6.932,588,7.026,498,7.202,509,7.503,484,7.736,460,7.975,489,8.423,639,8.933,543,9.313,597,9.892,758,10.146,375,3.57,3.89,4.94,2.681,2.3499,2.8912,5.3223,3.6409,0.7571,4.1779,1.356,2.505,4.1794,3.1054,3.0895,5.6176,6.0548,4.2539,6.2171,2.5677,renting
09173,7.027,1085,7.197,1228,7.206,1230,7.139,1256,7.357,1115,7.434,1440,7.68,1334,7.837,919,8.231,614,8.542,656,8.83,665,9.255,585,9.591,658,10.131,612,10.61,580,10.896,866,11.433,1057,12.053,489,3.24,4.4,4.68,2.4192,0.1251,-0.9298,3.0536,1.0466,3.3091,2.0443,5.0274,3.7784,3.3716,4.8131,3.6305,5.6303,4.7281,2.6956,4.9284,5.4229,renting
09174,7.356,2014,7.451,2422,7.514,2031,7.585,1837,7.774,1511,7.941,1589,8.146,1497,8.194,1280,8.367,1155,9.197,1121,9.81,900,10.522,779,10.942,1179,11.132,1556,11.522,1263,12.026,1495,12.053,1962,12.945,892,3.42,4.72,3.45,1.2915,0.8455,0.9449,2.4918,2.1482,2.5815,0.5892,2.1113,9.9199,6.6652,7.2579,3.9916,1.7364,3.5034,4.3742,0.2245,7.4006,renting
09175,7.487,2902,7.487,2803,7.483,2664,7.55,2778,7.738,1893,8.091,1714,8.439,1740,8.733,1239,8.84,1008,9.33,1119,10.045,987,10.364,964,10.588,1157,10.962,1482,11.473,1237,11.863,1629,12.492,1718,13.124,665,3.38,4.17,4.39,0.0,-0.0534,0.8954,2.4901,4.5619,4.3011,3.4838,1.2252,5.543,7.6635,3.1757,2.1613,3.5323,4.6616,3.3993,5.3022,5.0592,renting
09176,5.232,375,6.111,362,5.644,404,5.537,372,5.904,364,6.465,486,6.542,681,6.747,341,7.563,221,7.662,337,7.696,424,8.133,379,7.88,625,8.008,626,8.245,474,8.532,629,9.225,694,9.477,325,3.71,3.53,3.78,16.8005,-7.642,-1.8958,6.6281,9.502,1.191,3.1336,12.0943,1.309,0.4437,5.6783,-3.1108,1.6244,2.9595,3.4809,8.1224,2.7317,renting
09177,6.485,2260,6.625,3365,6.624,2318,6.913,2927,7.002,1509,7.152,1698,7.437,1470,7.704,1176,8.09,846,8.352,826,8.911,766,9.173,772,9.263,1109,9.429,1226,9.899,1029,10.207,1247,10.73,1400,11.09,618,3.22,3.72,3.67,2.1588,-0.0151,4.3629,1.2874,2.1422,3.9849,3.5902,5.0104,3.2386,6.693,2.9402,0.9811,1.7921,4.9846,3.1114,5.1239,3.3551,renting
09178,7.043,2966,7.099,3149,7.094,3152,7.242,2972,7.36,2738,7.192,2452,7.859,2166,8.229,1777,8.458,1420,9.081,1547,9.662,1392,9.849,1111,10.177,1887,10.297,2438,10.726,1872,11.362,2391,11.654,2733,12.665,1047,3.56,4.43,4.5,0.7951,-0.0704,2.0863,1.6294,-2.2826,9.2742,4.708,2.7828,7.3658,6.398,1.9354,3.3303,1.1791,4.1663,5.9295,2.57,8.6751,renting
09179,7.737,3542,7.79,3876,7.734,3682,7.857,3658,8.115,2719,8.336,2494,8.745,2457,9.092,1958,9.018,1636,9.771,1410,10.487,1261,11.086,1013,11.479,1635,11.664,1969,12.41,1844,12.714,2075,13.222,2379,13.723,1212,3.46,4.24,3.65,0.685,-0.7189,1.5904,3.2837,2.7234,4.9064,3.968,-0.8139,8.35,7.3278,5.7118,3.545,1.6116,6.3957,2.4496,3.9956,3.7891,renting
09180,6.87,943,6.818,1123,6.861,1200,7.016,1142,7.183,1251,7.247,1431,7.405,1393,7.616,900,7.512,632,8.019,482,8.472,396,8.876,317,9.163,433,9.996,405,10.176,370,10.727,546,11.397,658,12.063,357,3.4,4.74,5.68,-0.7569,0.6307,2.2591,2.3803,0.891,2.1802,2.8494,-1.3655,6.7492,5.6491,4.7686,3.2334,9.0909,1.8007,5.4147,6.2459,5.8436,renting
09181,6.255,1135,6.316,1224,6.299,1260,6.418,1313,6.785,1010,6.589,1189,6.843,1028,7.054,935,7.445,687,7.935,637,8.223,613,8.536,567,8.813,715,9.169,665,9.568,714,9.721,842,10.079,1014,10.968,415,3.39,4.53,4.5,0.9752,-0.2692,1.8892,5.7183,-2.8887,3.8549,3.0834,5.543,6.5816,3.6295,3.8064,3.2451,4.0395,4.3516,1.5991,3.6827,8.8203,renting
09182,7.649,883,7.309,1023,7.412,1369,7.269,2020,7.673,1186,8.028,1359,8.069,1355,8.219,913,8.68,551,9.091,645,9.891,551,10.065,466,10.305,617,10.886,582,11.844,547,12.246,825,12.678,873,13.383,372,3.4,5.02,5.38,-4.445,1.4092,-1.9293,5.5578,4.6266,0.5107,1.859,5.609,4.735,8.7999,1.7592,2.3845,5.638,8.8003,3.3941,3.5277,5.5608,renting
09183,4.669,570,4.659,587,4.7,582,4.734,633,4.844,547,4.996,667,5.372,570,5.583,617,5.821,563,6.007,515,6.426,668,6.895,632,6.951,789,7.16,905,7.608,715,8.05,862,8.491,1029,8.83,522,3.85,4.71,4.91,-0.2142,0.88,0.7234,2.3236,3.1379,7.526,3.9278,4.2629,3.1953,6.9752,7.2985,0.8122,3.0068,6.257,5.8097,5.4783,3.9925,renting
09184,8.785,6742,8.721,7928,8.736,8416,9.032,6754,9.314,4845,9.637,4646,9.936,4212,10.196,3511,10.996,2683,11.8,2897,12.587,2844,13.065,2797,13.577,3596,13.496,4503,14.056,4005,14.463,4307,14.847,4951,15.973,2413,3.61,4.62,3.34,-0.7285,0.172,3.3883,3.1222,3.4679,3.1026,2.6167,7.8462,7.3117,6.6695,3.7976,3.9189,-0.5966,4.1494,2.8956,2.6551,7.584,renting
09185,4.62,377,4.878,182,5.104,272,5.126,392,5.569,347,5.844,566,6.096,634,6.4,309,6.99,202,6.987,334,7.245,421,7.495,383,7.617,508,7.895,650,8.052,575,8.627,642,9.067,601,9.457,288,4.33,4.01,4.44,5.5844,4.633,0.431,8.6422,4.938,4.3121,4.9869,9.2187,-0.0429,3.6926,3.4507,1.6278,3.6497,1.9886,7.1411,5.1003,4.3013,renting
09186,5.264,724,5.416,727,5.557,740,5.745,882,5.924,939,6.299,915,6.511,1096,6.725,712,7.211,442,7.511,589,7.843,661,8.161,591,8.093,924,8.288,1028,8.605,883,9.072,1052,9.666,1171,9.928,478,3.82,3.99,4.18,2.8875,2.6034,3.3831,3.1158,6.3302,3.3656,3.2867,7.2268,4.1603,4.4202,4.0546,-0.8332,2.4095,3.8248,5.4271,6.5476,2.7105,renting
